ma_hp,hp_tien_quyet
PEC1008,PHI1006
MAT2502,MAT2501
MAT2503,MAT2502
MAT2503,MAT2400
MAT2403,MAT2501
MAT2403,AMT2400
MAT2034,MAT2502
MAT2034,MAT2403
MAT2034,MAT3372
MAT2323,MAT2502
MAT2323,MAT2316
MAT2323,MAT2317
MAT2323,MAT2318
MAT2323,MAT2319
MAT2407,MAT2502
MAT2315,MAT3514
MAT2315,MAT2323
MAT2315,MAT2506
MAT2315,MAT2034
MAT2316,INM1000
MAT2317,INM1000
MAT2318,INM1000
MAT2319,INM1000
MAT3500,MAT2400
MAT3500,MAT2501
MAT3372,MAT2316
MAT3372,MAT2317
MAT3372,MAT3218
MAT3372,MAT2319
MAT3514,MAT3372
MAT3514,MAT3500
MAT3507,MAT2316
MAT3507,MAT2317
MAT3507,MAT2318
MAT3507,MAT2319
MAT2278,MAT3507
MAT2278,MAT3372
MAT3148,MAT3514
MAT3148,MAT3557
MAT3379,MAT2323
MAT3379,MAT2400
MAT3379,MAT2316
MAT3379,MAT2317
MAT3379,MAT2318
MAT3379,MAT2319
MAT3533,MAT2034
MAT3533,MAT3514
MAT3533,MAT2323
MAT3533,MAT2400
MAT3380,MAT3514
MAT3380,MAT2323
MAT3381,MAT3372
MAT3381,MAT3507
MAT3381,MAt2506
MAT3382,MAT3514
MAT3383,MAT3372
MAT3383,MAT3500
MAT3384,MAT3533
MAT3385,MAT3372
MAT3504,MAT3514
MAT3508,MAT3372
MAT3508,MAT3507
MAT3534,MAT3507
MAT3534,MAT2323
MAT3386,MAT2323
MAT3387,MAT2323
MAT3388,MAT3507
MAT3388,MAT2323
MAT3389,MAT2323
MAT3390,MAT3533
MAT3391,MAT3372
MAT3391,MAT3500
MAT3392,MAT3507
MAT3392,MAT2323
MAT3393,MAT3533
MAT3394,MAT2403
MAT3562,MAT3533
MAT3395,MAT2323
MAT3535,MAT3514
MAT3399,MAT3533
MAT3397,MAT3533
MAT3398,MAT3533
