PHI1006,Triết học Mác - Lênin (Marxist-Leninist Philosophy),3,Học phần Triết học Marxist-Leninist trong Khối kiến thức chung
PEC1008,Kinh tế chính trị Mác - Lênin (Marx-Lenin Political Economy),2,Học phần Kinh tế chính trị trong Khối kiến thức chung
PHI1002,Chủ nghĩa xã hội khoa học (Scientific socialism),2,Học phần Chủ nghĩa xã hội trong Khối kiến thức chung
HIS1001,Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam),2,Học phần Lịch sử Đảng trong Khối kiến thức chung
POL1001,Tư tưởng Hồ Chí Minh (Ho Chi Minh Ideology),2,Học phần tư tưởng HCM trong Khối kiến thức chung
MAT2317,Lập trình Java (Java Programming),3,Học phần lập trình cơ bản với ngôn ngữ Java
MAT3500,Toán rời rạc (Discrete Mathematics),4,Bắt đầu kiến thức Toán rời rạc khiến bạn lú
MAT3557,Môi trường lập trình Linux (Linux Programming Environment),2,Hệ điều hành Linux tuyệt vời - Hãy bắt đầu dùng ArchLinux để cảm nhận
MAT3372,Các thành phần phần mềm (Software Components),3,OOP siêu quan trọng trong cuộc sống
MAT3514,Cấu trúc dữ liệu và thuật toán (Data Structures and Algorithms),4,Chương trình = Cấu trúc dữ liệu + thuật toán
MAT3507,Cơ sở dữ liệu (Databases),3,Mở đàu cho Backend
MAT3378,Quản trị dữ liệu lớn (Management of big and complex data),3,"..."
MAT3148,Tính toán song song (Prallel computing),3,Sắp có bài báo khoa học đầu tiên :))
MAT3379,Phân tích hồi quy và ứng dụng (Applied Regression Analysis),3,Bản chất hỗ trợ học AI về sau
MAT3533,Học máy (Machine learning),3,Sâu hơn so với AI
MAT3550E,Nguyên lí hệ điều hành (Principles of Operating Systems),3,Học xong bỏ Windows vs MacOS đi nhé :> Zăm ba mấy cái OS vớ vẩn
MAT3505,Kiến trúc máy tính (Computer Architecture),3,Ừ thì giống Tin học cơ sở học thêm tý nữa chăng
MAT3541E,Nguyên lí các ngôn ngữ lập trình (Principles of Programming Languages),3,Học xong làm ngôn ngữ nào nhiều thư viện hỗ trợ như Python mà nhanh hơn được không -_-
MAT3558,Lập trình mobile (Programming for mobile platforms),2,Chân lý cuộc đời chỉ còn Web vs App thôi à
