ma_chuong_trinh,ma_nganh,ma_hp,nam,ki
KCT_01,QHT01,PHI1006,1,1
KCT_01,QHT01,PEC1008,1,2
KCT_01,QHT01,HIS1001,1,1
KCT_01,QHT01,POL1001,1,2
KCT_01,QHT01,PHI1002,1,2
KCT_01,QHT01,INM1000,1,1
KCT_01,QHT01,HIS1056,1,1
KCT_01,QHT01,GEO1050,1,1
KCT_01,QHT01,THL1057,1,1
KCT_01,QHT01,MAT1060,1,1
KCT_01,QHT01,PHY1070,1,1
KCT_01,QHT01,PHY1020,1,1
KCT_01,QHT01,MAT1076,1,2
KCT_01,QHT01,PHY1059,1,2
KCT_01,QHT01,MAT2300,1,1
KCT_01,QHT01,MAT2301,1,2
KCT_01,QHT01,MAT2302,1,2
KCT_01,QHT01,MAT2303,2,1
KCT_01,QHT01,MAT2304,2,2
KCT_01,QHT01,MAT2314,2,2
KCT_01,QHT01,MAT2306,2,2
KCT_01,QHT01,MAT2307,2,2
KCT_01,QHT01,MAT2308,2,2
KCT_01,QHT01,MAT2407,3,1
