ma_chuong_trinh,ma_nganh,ma_hp,nam,ki
KCT_01,QHT01,PHI1006,1,1
KCT_01,QHT01,PEC1008,1,1
KCT_01,QHT01,HIS1001,1,1
KCT_01,QHT01,POL1001,1,1
KCT_01,QHT01,PHI1002,1,1
KCT_01,QHT01,INM1000,1,1
KCT_01,QHT01,HIS1056,1,1
KCT_01,QHT01,GEO1050,1,1
KCT_01,QHT01,THL1057,1,1
KCT_01,QHT01,MAT1060,1,1
KCT_01,QHT01,PHY1070,1,1
KCT_01,QHT01,PHY1020,1,1
KCT_01,QHT01,PHY1059,1,1
KCT_01,QHT01,MAT2300,1,1
KCT_01,QHT01,MAT2301,1,1
KCT_01,QHT01,MAT2302,1,1
KCT_01,QHT01,MAT2303,2,1
KCT_01,QHT01,MAT2304,2,2
KCT_01,QHT01,MAT2314,2,2
KCT_01,QHT01,MAT2306,2,2
KCT_01,QHT01,MAT2307,2,2
KCT_01,QHT01,MAT2308,2,2
KCT_01,QHT01,MAT2407,3,1
KCT_01,QHT01,MAT2310,2,1
KCT_01,QHT01,MAT2315,3,2
KCT_01,QHT01,MAT2316,1,2
KCT_01,QHT01,MAT2317,1,2
KCT_01,QHT01,MAT2318,1,2
KCT_01,QHT01,MAT2319,1,2
KCT_01,QHT01,MAT3300,2,1
KCT_01,QHT01,MAT3301,2,1
KCT_01,QHT01,MAT3302,2,1
KCT_01,QHT01,MAT3304,2,2
KCT_01,QHT01,MAT3305,3,1
KCT_01,QHT01,MAT3307,3,1
KCT_01,QHT01,MAT3359,3,2
KCT_01,QHT01,MAT3339,2,2
KCT_01,QHT01,MAT3311,2,2
KCT_01,QHT01,MAT3318,3,1
KCT_01,QHT01,MAT3345,3,1
KCT_01,QHT01,MAT3321,3,1
KCT_01,QHT01,MAT3323,3,1
KCT_01,QHT01,MAT3323,3,1
KCT_01,QHT01,MAT3360,3,2
KCT_01,QHT01,MAT3334,3,2
KCT_01,QHT01,MAT3335,3,2
KCT_01,QHT01,MAT3345,3,2
KCT_01,QHT01,MAT3361,3,2
KCT_01,QHT01,MAT3423,3,2
KCT_01,QHT01,MAT3406,3,2
KCT_01,QHT01,MAT3418,4,2
KCT_02,QHT02,PHI1006,1,1
KCT_02,QHT02,PEC1008,1,2
KCT_02,QHT02,HIS1001,1,1
KCT_02,QHT02,POL1001,1,2
KCT_02,QHT02,PHI1002,1,2
KCT_02,QHT02,INM1000,1,1
KCT_02,QHT02,HIS1056,1,1
KCT_02,QHT02,GEO1050,1,1
KCT_02,QHT02,THL1057,1,1
KCT_02,QHT02,MAT1060,1,1
KCT_02,QHT02,PHY1070,1,1
KCT_02,QHT02,PHY1020,1,1
KCT_02,QHT02,MAT2300,1,1
KCT_02,QHT02,MAT2301,1,2
KCT_02,QHT02,MAT2302,1,2
KCT_02,QHT02,MAT2303,1,2
KCT_02,QHT02,MAT2304,2,1
KCT_02,QHT02,MAT2314,2,2
KCT_02,QHT02,MAT3409,2,2
KCT_02,QHT02,MAT2404,3,1
KCT_02,QHT02,MAT2405,3,1
KCT_02,QHT02,MAT2407,3,1
KCT_02,QHT02,MAT2315,3,2
KCT_02,QHT02,MAT2316,1,2
